desc1,desc2,value,date
Milk and milk products,Milk and milk products,3083,1974
Milk and milk products,Milk and milk products,3094,1975
Milk and milk products,Milk and milk products,3068,1976
Milk and milk products,Milk and milk products,2963,1977
Milk and milk products,Milk and milk products,2914,1978
Milk and milk products,Milk and milk products,2874,1979
Milk and milk products,Milk and milk products,2797,1980
Milk and milk products,Milk and milk products,2722,1981
Milk and milk products,Milk and milk products,2686,1982
Milk and milk products,Milk and milk products,2635,1983
Milk and milk products,Milk and milk products,2635,1984
Milk and milk products,Milk and milk products,2525,1985
Milk and milk products,Milk and milk products,2549,1986
Milk and milk products,Milk and milk products,2499,1987
Milk and milk products,Milk and milk products,2468,1988
Milk and milk products,Milk and milk products,2420,1989
Milk and milk products,Milk and milk products,2348,1990
Milk and milk products,Milk and milk products,2313,1991
Milk and milk products,Milk and milk products,2411,1992
Milk and milk products,Milk and milk products,2361,1993
Milk and milk products,Milk and milk products,2371,1994
Milk and milk products,Milk and milk products,2353,1995
Milk and milk products,Milk and milk products,2290,1996
Milk and milk products,Milk and milk products,2281,1997
Milk and milk products,Milk and milk products,2230,1998
Milk and milk products,Milk and milk products,2189,1999
Milk and milk products,Milk and milk products,2273,2000
Milk and milk products,Milk and milk products,2145,2001
Milk and milk products,Milk and milk products,2118,2002
Milk and milk products,Milk and milk products,2154,2003
Milk and milk products,Milk and milk products,2106,2004
Milk and milk products,Milk and milk products,2143,2005
Milk and milk products,Milk and milk products,2138,2006
Milk and milk products,Milk and milk products,2103,2007
Milk and milk products,Milk and milk products,2068,2008
Milk and milk products,Milk and milk products,2119,2009
Milk and milk products,Milk and milk products,2015,2010
Milk and milk products,Milk and milk products,2022,2011
Milk and milk products,Milk and milk products,2015,2012
Milk and milk products,Milk and milk products,1965,2013
Milk and milk products,Milk and milk products,1960,2014
Carcase Meat,Carcase Meat,393,1974
Carcase Meat,Carcase Meat,413,1975
Carcase Meat,Carcase Meat,396,1976
Carcase Meat,Carcase Meat,416,1977
Carcase Meat,Carcase Meat,416,1978
Carcase Meat,Carcase Meat,436,1979
Carcase Meat,Carcase Meat,453,1980
Carcase Meat,Carcase Meat,408,1981
Carcase Meat,Carcase Meat,396,1982
Carcase Meat,Carcase Meat,378,1983
Carcase Meat,Carcase Meat,348,1984
Carcase Meat,Carcase Meat,357,1985
Carcase Meat,Carcase Meat,357,1986
Carcase Meat,Carcase Meat,338,1987
Carcase Meat,Carcase Meat,334,1988
Carcase Meat,Carcase Meat,329,1989
Carcase Meat,Carcase Meat,301,1990
Carcase Meat,Carcase Meat,304,1991
Carcase Meat,Carcase Meat,269,1992
Carcase Meat,Carcase Meat,266,1993
Carcase Meat,Carcase Meat,250,1994
Carcase Meat,Carcase Meat,235,1995
Carcase Meat,Carcase Meat,231,1996
Carcase Meat,Carcase Meat,231,1997
Carcase Meat,Carcase Meat,233,1998
Carcase Meat,Carcase Meat,226,1999
Carcase Meat,Carcase Meat,235,2000
Carcase Meat,Carcase Meat,229,2001
Carcase Meat,Carcase Meat,230,2002
Carcase Meat,Carcase Meat,225,2003
Carcase Meat,Carcase Meat,229,2004
Carcase Meat,Carcase Meat,226,2005
Carcase Meat,Carcase Meat,238,2006
Carcase Meat,Carcase Meat,235,2007
Carcase Meat,Carcase Meat,211,2008
Carcase Meat,Carcase Meat,212,2009
Carcase Meat,Carcase Meat,211,2010
Carcase Meat,Carcase Meat,204,2011
Carcase Meat,Carcase Meat,196,2012
Carcase Meat,Carcase Meat,182,2013
Carcase Meat,Carcase Meat,195,2014
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,630,1974
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,642,1975
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,656,1976
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,695,1977
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,705,1978
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,724,1979
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,707,1980
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,734,1981
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,728,1982
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,730,1983
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,722,1984
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,712,1985
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,721,1986
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,737,1987
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,727,1988
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,721,1989
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,698,1990
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,691,1991
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,714,1992
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,728,1993
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,732,1994
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,751,1995
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,759,1996
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,752,1997
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,752,1998
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,735,1999
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,779,2000
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,812,2001
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,820,2002
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,836,2003
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,820,2004
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,821,2005
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,804,2006
Non-Carcase Meat and Meat Products,Non-Carcase Meat and Meat Products,795,2007
