desc1,desc2,value,date
Baked Goods,Cakes and pastries,154,1974
Baked Goods,Cakes and pastries,137,1975
Baked Goods,Cakes and pastries,125,1976
Baked Goods,Cakes and pastries,124,1977
Baked Goods,Cakes and pastries,118,1978
Baked Goods,Cakes and pastries,126,1979
Baked Goods,Cakes and pastries,123,1980
Baked Goods,Cakes and pastries,124,1981
Baked Goods,Cakes and pastries,121,1982
Baked Goods,Cakes and pastries,116,1983
Baked Goods,Cakes and pastries,114,1984
Baked Goods,Cakes and pastries,110,1985
Baked Goods,Cakes and pastries,113,1986
Baked Goods,Cakes and pastries,117,1987
Baked Goods,Cakes and pastries,113,1988
Baked Goods,Cakes and pastries,108,1989
Baked Goods,Cakes and pastries,109,1990
Baked Goods,Cakes and pastries,123,1991
Baked Goods,Cakes and pastries,119,1992
Baked Goods,Cakes and pastries,124,1993
Baked Goods,Cakes and pastries,133,1994
Baked Goods,Cakes and pastries,133,1995
Baked Goods,Cakes and pastries,136,1996
Baked Goods,Cakes and pastries,145,1997
Baked Goods,Cakes and pastries,136,1998
Baked Goods,Cakes and pastries,135,1999
Baked Goods,Cakes and pastries,138,2000
Baked Goods,Cakes and pastries,126,2001
Baked Goods,Cakes and pastries,122,2002
Baked Goods,Cakes and pastries,120,2003
Baked Goods,Cakes and pastries,117,2004
Baked Goods,Cakes and pastries,122,2005
Baked Goods,Cakes and pastries,120,2006
Baked Goods,Cakes and pastries,115,2007
Baked Goods,Cakes and pastries,111,2008
Baked Goods,Cakes and pastries,111,2009
Baked Goods,Cakes and pastries,108,2010
Baked Goods,Cakes and pastries,105,2011
Baked Goods,Cakes and pastries,105,2012
Baked Goods,Cakes and pastries,103,2013
Baked Goods,Cakes and pastries,99,2014
Baked Goods,"Buns, scones and teacakes",30,1974
Baked Goods,"Buns, scones and teacakes",36,1975
Baked Goods,"Buns, scones and teacakes",35,1976
Baked Goods,"Buns, scones and teacakes",33,1977
Baked Goods,"Buns, scones and teacakes",35,1978
Baked Goods,"Buns, scones and teacakes",36,1979
Baked Goods,"Buns, scones and teacakes",30,1980
Baked Goods,"Buns, scones and teacakes",30,1981
Baked Goods,"Buns, scones and teacakes",32,1982
Baked Goods,"Buns, scones and teacakes",31,1983
Baked Goods,"Buns, scones and teacakes",31,1984
Baked Goods,"Buns, scones and teacakes",32,1985
Baked Goods,"Buns, scones and teacakes",33,1986
Baked Goods,"Buns, scones and teacakes",34,1987
Baked Goods,"Buns, scones and teacakes",35,1988
Baked Goods,"Buns, scones and teacakes",36,1989
Baked Goods,"Buns, scones and teacakes",37,1990
Baked Goods,"Buns, scones and teacakes",43,1991
Baked Goods,"Buns, scones and teacakes",44,1992
Baked Goods,"Buns, scones and teacakes",43,1993
Baked Goods,"Buns, scones and teacakes",42,1994
Baked Goods,"Buns, scones and teacakes",40,1995
Baked Goods,"Buns, scones and teacakes",53,1996
Baked Goods,"Buns, scones and teacakes",49,1997
Baked Goods,"Buns, scones and teacakes",47,1998
Baked Goods,"Buns, scones and teacakes",45,1999
Baked Goods,"Buns, scones and teacakes",49,2000
Baked Goods,"Buns, scones and teacakes",37,2001
Baked Goods,"Buns, scones and teacakes",41,2002
Baked Goods,"Buns, scones and teacakes",44,2003
Baked Goods,"Buns, scones and teacakes",47,2004
Baked Goods,"Buns, scones and teacakes",46,2005
Baked Goods,"Buns, scones and teacakes",45,2006
Baked Goods,"Buns, scones and teacakes",44,2007
Baked Goods,"Buns, scones and teacakes",43,2008
Baked Goods,"Buns, scones and teacakes",47,2009
Baked Goods,"Buns, scones and teacakes",45,2010
Baked Goods,"Buns, scones and teacakes",46,2011
Baked Goods,"Buns, scones and teacakes",45,2012
Baked Goods,"Buns, scones and teacakes",47,2013
Baked Goods,"Buns, scones and teacakes",48,2014
Baked Goods,Chocolate biscuits,43,1974
Baked Goods,Chocolate biscuits,36,1975
Baked Goods,Chocolate biscuits,37,1976
Baked Goods,Chocolate biscuits,35,1977
