desc1,desc2,value,date
Bread,White bread,860,1974
Bread,White bread,847,1975
Bread,White bread,809,1976
Bread,White bread,788,1977
Bread,White bread,767,1978
Bread,White bread,706,1979
Bread,White bread,668,1980
Bread,White bread,667,1981
Bread,White bread,663,1982
Bread,White bread,636,1983
Bread,White bread,613,1984
Bread,White bread,592,1985
Bread,White bread,505,1986
Bread,White bread,489,1987
Bread,White bread,476,1988
Bread,White bread,468,1989
Bread,White bread,451,1990
Bread,White bread,419,1991
Bread,White bread,463,1992
Bread,White bread,463,1993
Bread,White bread,472,1994
Bread,White bread,478,1995
Bread,White bread,479,1996
Bread,White bread,469,1997
Bread,White bread,479,1998
Bread,White bread,450,1999
Bread,White bread,461,2000
Bread,White bread,456,2001
Bread,White bread,431,2002
Bread,White bread,410,2003
Bread,White bread,353,2004
Bread,White bread,336,2005
Bread,White bread,310,2006
Bread,White bread,304,2007
Bread,White bread,301,2008
Bread,White bread,297,2009
Bread,White bread,281,2010
Bread,White bread,259,2011
Bread,White bread,266,2012
Bread,White bread,247,2013
Bread,White bread,222,2014
Bread,Brown and wholemeal bread,81,1974
Bread,Brown and wholemeal bread,101,1975
Bread,Brown and wholemeal bread,110,1976
Bread,Brown and wholemeal bread,114,1977
Bread,Brown and wholemeal bread,117,1978
Bread,Brown and wholemeal bread,149,1979
Bread,Brown and wholemeal bread,171,1980
Bread,Brown and wholemeal bread,170,1981
Bread,Brown and wholemeal bread,165,1982
Bread,Brown and wholemeal bread,180,1983
Bread,Brown and wholemeal bread,201,1984
Bread,Brown and wholemeal bread,225,1985
Bread,Brown and wholemeal bread,281,1986
Bread,Brown and wholemeal bread,258,1987
Bread,Brown and wholemeal bread,253,1988
Bread,Brown and wholemeal bread,238,1989
Bread,Brown and wholemeal bread,224,1990
Bread,Brown and wholemeal bread,224,1991
Bread,Brown and wholemeal bread,219,1992
Bread,Brown and wholemeal bread,215,1993
Bread,Brown and wholemeal bread,202,1994
Bread,Brown and wholemeal bread,187,1995
Bread,Brown and wholemeal bread,185,1996
Bread,Brown and wholemeal bread,184,1997
Bread,Brown and wholemeal bread,163,1998
Bread,Brown and wholemeal bread,170,1999
Bread,Brown and wholemeal bread,162,2000
Bread,Brown and wholemeal bread,141,2001
Bread,Brown and wholemeal bread,146,2002
Bread,Brown and wholemeal bread,139,2003
Bread,Brown and wholemeal bread,165,2004
Bread,Brown and wholemeal bread,186,2005
Bread,Brown and wholemeal bread,188,2006
Bread,Brown and wholemeal bread,176,2007
Bread,Brown and wholemeal bread,168,2008
Bread,Brown and wholemeal bread,173,2009
Bread,Brown and wholemeal bread,164,2010
Bread,Brown and wholemeal bread,175,2011
Bread,Brown and wholemeal bread,158,2012
Bread,Brown and wholemeal bread,156,2013
Bread,Brown and wholemeal bread,150,2014
Bread,Total other bread,77,1974
Bread,Total other bread,81,1975
Bread,Total other bread,95,1976
Bread,Total other bread,99,1977
Bread,Total other bread,97,1978
Bread,Total other bread,103,1979
Bread,Total other bread,111,1980
Bread,Total other bread,115,1981
Bread,Total other bread,118,1982
Bread,Total other bread,121,1983
Bread,Total other bread,121,1984
Bread,Total other bread,131,1985
Bread,Total other bread,155,1986
Bread,Total other bread,188,1987
Bread,Total other bread,198,1988
Bread,Total other bread,192,1989
Bread,Total other bread,184,1990
Bread,Total other bread,168,1991
Bread,Total other bread,134,1992
Bread,Total other bread,140,1993
Bread,Total other bread,145,1994
Bread,Total other bread,153,1995
Bread,Total other bread,155,1996
Bread,Total other bread,158,1997
Bread,Total other bread,163,1998
Bread,Total other bread,159,1999
Bread,Total other bread,160,2000
Bread,Total other bread,173,2001
Bread,Total other bread,180,2002
Bread,Total other bread,179,2003
Bread,Total other bread,178,2004
Bread,Total other bread,179,2005
Bread,Total other bread,194,2006
Bread,Total other bread,197,2007
Bread,Total other bread,190,2008
Bread,Total other bread,186,2009
Bread,Total other bread,188,2010
Bread,Total other bread,186,2011
Bread,Total other bread,191,2012
Bread,Total other bread,203,2013
Bread,Total other bread,183,2014
