desc1,desc2,value,date
Cereal Products,Oatmeal and oat products,13,1974
Cereal Products,Oatmeal and oat products,13,1975
Cereal Products,Oatmeal and oat products,12,1976
Cereal Products,Oatmeal and oat products,13,1977
Cereal Products,Oatmeal and oat products,12,1978
Cereal Products,Oatmeal and oat products,12,1979
Cereal Products,Oatmeal and oat products,11,1980
Cereal Products,Oatmeal and oat products,12,1981
Cereal Products,Oatmeal and oat products,9,1982
Cereal Products,Oatmeal and oat products,12,1983
Cereal Products,Oatmeal and oat products,11,1984
Cereal Products,Oatmeal and oat products,13,1985
Cereal Products,Oatmeal and oat products,14,1986
Cereal Products,Oatmeal and oat products,13,1987
Cereal Products,Oatmeal and oat products,16,1988
Cereal Products,Oatmeal and oat products,14,1989
Cereal Products,Oatmeal and oat products,13,1990
Cereal Products,Oatmeal and oat products,18,1991
Cereal Products,Oatmeal and oat products,14,1992
Cereal Products,Oatmeal and oat products,13,1993
Cereal Products,Oatmeal and oat products,10,1994
Cereal Products,Oatmeal and oat products,10,1995
Cereal Products,Oatmeal and oat products,12,1996
Cereal Products,Oatmeal and oat products,15,1997
Cereal Products,Oatmeal and oat products,10,1998
Cereal Products,Oatmeal and oat products,12,1999
Cereal Products,Oatmeal and oat products,14,2000
Cereal Products,Oatmeal and oat products,12,2001
Cereal Products,Oatmeal and oat products,13,2002
Cereal Products,Oatmeal and oat products,12,2003
Cereal Products,Oatmeal and oat products,14,2004
Cereal Products,Oatmeal and oat products,19,2005
Cereal Products,Oatmeal and oat products,17,2006
Cereal Products,Oatmeal and oat products,19,2007
Cereal Products,Oatmeal and oat products,20,2008
Cereal Products,Oatmeal and oat products,21,2009
Cereal Products,Oatmeal and oat products,21,2010
Cereal Products,Oatmeal and oat products,20,2011
Cereal Products,Oatmeal and oat products,22,2012
Cereal Products,Oatmeal and oat products,24,2013
Cereal Products,Oatmeal and oat products,23,2014
Cereal Products,Breakfast cereals,77,1974
Cereal Products,Breakfast cereals,82,1975
Cereal Products,Breakfast cereals,87,1976
Cereal Products,Breakfast cereals,89,1977
Cereal Products,Breakfast cereals,93,1978
Cereal Products,Breakfast cereals,91,1979
Cereal Products,Breakfast cereals,94,1980
Cereal Products,Breakfast cereals,95,1981
Cereal Products,Breakfast cereals,95,1982
Cereal Products,Breakfast cereals,103,1983
Cereal Products,Breakfast cereals,111,1984
Cereal Products,Breakfast cereals,109,1985
Cereal Products,Breakfast cereals,118,1986
Cereal Products,Breakfast cereals,119,1987
Cereal Products,Breakfast cereals,120,1988
Cereal Products,Breakfast cereals,120,1989
Cereal Products,Breakfast cereals,121,1990
Cereal Products,Breakfast cereals,127,1991
Cereal Products,Breakfast cereals,124,1992
Cereal Products,Breakfast cereals,121,1993
Cereal Products,Breakfast cereals,126,1994
Cereal Products,Breakfast cereals,127,1995
Cereal Products,Breakfast cereals,132,1996
Cereal Products,Breakfast cereals,127,1997
Cereal Products,Breakfast cereals,128,1998
Cereal Products,Breakfast cereals,126,1999
Cereal Products,Breakfast cereals,135,2000
Cereal Products,Breakfast cereals,133,2001
Cereal Products,Breakfast cereals,132,2002
Cereal Products,Breakfast cereals,134,2003
Cereal Products,Breakfast cereals,131,2004
Cereal Products,Breakfast cereals,135,2005
Cereal Products,Breakfast cereals,135,2006
Cereal Products,Breakfast cereals,130,2007
Cereal Products,Breakfast cereals,130,2008
Cereal Products,Breakfast cereals,133,2009
Cereal Products,Breakfast cereals,133,2010
Cereal Products,Breakfast cereals,132,2011
Cereal Products,Breakfast cereals,128,2012
Cereal Products,Breakfast cereals,127,2013
Cereal Products,Breakfast cereals,126,2014
Cereal Products,Canned milk puddings,59,1974
Cereal Products,Canned milk puddings,56,1975
Cereal Products,Canned milk puddings,55,1976
Cereal Products,Canned milk puddings,49,1977
Cereal Products,Canned milk puddings,43,1978
Cereal Products,Canned milk puddings,44,1979
Cereal Products,Canned milk puddings,35,1980
Cereal Products,Canned milk puddings,37,1981
Cereal Products,Canned milk puddings,35,1982
Cereal Products,Canned milk puddings,31,1983
Cereal Products,Canned milk puddings,32,1984
Cereal Products,Canned milk puddings,30,1985
Cereal Products,Canned milk puddings,31,1986
Cereal Products,Canned milk puddings,33,1987
Cereal Products,Canned milk puddings,31,1988
Cereal Products,Canned milk puddings,31,1989
Cereal Products,Canned milk puddings,30,1990
Cereal Products,Canned milk puddings,34,1991
Cereal Products,Canned milk puddings,33,1992
Cereal Products,Canned milk puddings,33,1993
Cereal Products,Canned milk puddings,34,1994
Cereal Products,Canned milk puddings,37,1995
Cereal Products,Canned milk puddings,35,1996
Cereal Products,Canned milk puddings,34,1997
Cereal Products,Canned milk puddings,32,1998
Cereal Products,Canned milk puddings,31,1999
Cereal Products,Canned milk puddings,30,2000
Cereal Products,Canned milk puddings,26,2001
Cereal Products,Canned milk puddings,28,2002
Cereal Products,Canned milk puddings,28,2003
Cereal Products,Canned milk puddings,28,2004
Cereal Products,Canned milk puddings,27,2005
Cereal Products,Canned milk puddings,27,2006
Cereal Products,Canned milk puddings,28,2007
Cereal Products,Canned milk puddings,29,2008
Cereal Products,Canned milk puddings,28,2009
Cereal Products,Canned milk puddings,26,2010
Cereal Products,Canned milk puddings,26,2011
Cereal Products,Canned milk puddings,25,2012
Cereal Products,Canned milk puddings,25,2013
Cereal Products,Canned milk puddings,25,2014
Cereal Products,Puddings,10,1974
Cereal Products,Puddings,9,1975
Cereal Products,Puddings,8,1976
Cereal Products,Puddings,7,1977
Cereal Products,Puddings,7,1978
Cereal Products,Puddings,7,1979
Cereal Products,Puddings,7,1980
Cereal Products,Puddings,6,1981
Cereal Products,Puddings,6,1982
Cereal Products,Puddings,8,1983
Cereal Products,Puddings,7,1984
Cereal Products,Puddings,7,1985
Cereal Products,Puddings,8,1986
Cereal Products,Puddings,8,1987
Cereal Products,Puddings,8,1988
Cereal Products,Puddings,7,1989
Cereal Products,Puddings,7,1990
Cereal Products,Puddings,8,1991
Cereal Products,Puddings,6,1992
Cereal Products,Puddings,6,1993
Cereal Products,Puddings,6,1994
Cereal Products,Puddings,7,1995
Cereal Products,Puddings,9,1996
Cereal Products,Puddings,7,1997
Cereal Products,Puddings,8,1998
Cereal Products,Puddings,8,1999
Cereal Products,Puddings,7,2000
Cereal Products,Puddings,10,2001
Cereal Products,Puddings,9,2002
Cereal Products,Puddings,9,2003
Cereal Products,Puddings,11,2004
Cereal Products,Puddings,11,2005
Cereal Products,Puddings,10,2006
Cereal Products,Puddings,11,2007
Cereal Products,Puddings,11,2008
Cereal Products,Puddings,11,2009
Cereal Products,Puddings,12,2010
Cereal Products,Puddings,11,2011
Cereal Products,Puddings,9,2012
Cereal Products,Puddings,9,2013
Cereal Products,Puddings,10,2014
Cereal Products,Rice,17,1974
Cereal Products,Rice,17,1975
Cereal Products,Rice,20,1976
Cereal Products,Rice,21,1977
Cereal Products,Rice,19,1978
Cereal Products,Rice,23,1979
Cereal Products,Rice,31,1980
Cereal Products,Rice,26,1981
Cereal Products,Rice,22,1982
Cereal Products,Rice,28,1983
Cereal Products,Rice,31,1984
Cereal Products,Rice,27,1985
Cereal Products,Rice,28,1986
Cereal Products,Rice,36,1987
Cereal Products,Rice,28,1988
Cereal Products,Rice,33,1989
Cereal Products,Rice,32,1990
Cereal Products,Rice,41,1991
Cereal Products,Rice,41,1992
Cereal Products,Rice,41,1993
Cereal Products,Rice,41,1994
Cereal Products,Rice,58,1995
Cereal Products,Rice,92,1996
Cereal Products,Rice,82,1997
Cereal Products,Rice,66,1998
Cereal Products,Rice,74,1999
Cereal Products,Rice,69,2000
Cereal Products,Rice,80,2001
Cereal Products,Rice,84,2002
Cereal Products,Rice,80,2003
Cereal Products,Rice,79,2004
Cereal Products,Rice,90,2005
Cereal Products,Rice,87,2006
Cereal Products,Rice,94,2007
Cereal Products,Rice,90,2008
Cereal Products,Rice,92,2009
Cereal Products,Rice,92,2010
Cereal Products,Rice,92,2011
Cereal Products,Rice,92,2012
Cereal Products,Rice,95,2013
Cereal Products,Rice,103,2014
Cereal Products,"Invalid foods, slimming foods and sports foods",1,1974
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1975
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1976
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1977
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1978
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1979
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1980
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1981
Cereal Products,"Invalid foods, slimming foods and sports foods",1,1982
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1983
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1984
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1985
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1986
Cereal Products,"Invalid foods, slimming foods and sports foods",0,1987
