desc2,value,date
Milk and milk products,3083,1974
Milk and milk products,3094,1975
Milk and milk products,3068,1976
Milk and milk products,2963,1977
Milk and milk products,2914,1978
Milk and milk products,2874,1979
Milk and milk products,2797,1980
Milk and milk products,2722,1981
Milk and milk products,2686,1982
Milk and milk products,2635,1983
Milk and milk products,2635,1984
Milk and milk products,2525,1985
Milk and milk products,2549,1986
Milk and milk products,2499,1987
Milk and milk products,2468,1988
Milk and milk products,2420,1989
Milk and milk products,2348,1990
Milk and milk products,2313,1991
Milk and milk products,2411,1992
Milk and milk products,2361,1993
Milk and milk products,2371,1994
Milk and milk products,2353,1995
Milk and milk products,2290,1996
Milk and milk products,2281,1997
Milk and milk products,2230,1998
Milk and milk products,2189,1999
Milk and milk products,2273,2000
Milk and milk products,2145,2001
Milk and milk products,2118,2002
Milk and milk products,2154,2003
Milk and milk products,2106,2004
Milk and milk products,2143,2005
Milk and milk products,2138,2006
Milk and milk products,2103,2007
Milk and milk products,2068,2008
Milk and milk products,2119,2009
Milk and milk products,2015,2010
Milk and milk products,2022,2011
Milk and milk products,2015,2012
Milk and milk products,1965,2013
Milk and milk products,1960,2014
Carcase Meat,393,1974
Carcase Meat,413,1975
Carcase Meat,396,1976
Carcase Meat,416,1977
Carcase Meat,416,1978
Carcase Meat,436,1979
Carcase Meat,453,1980
Carcase Meat,408,1981
Carcase Meat,396,1982
Carcase Meat,378,1983
Carcase Meat,348,1984
Carcase Meat,357,1985
Carcase Meat,357,1986
Carcase Meat,338,1987
Carcase Meat,334,1988
Carcase Meat,329,1989
Carcase Meat,301,1990
Carcase Meat,304,1991
Carcase Meat,269,1992
Carcase Meat,266,1993
Carcase Meat,250,1994
Carcase Meat,235,1995
Carcase Meat,231,1996
Carcase Meat,231,1997
Carcase Meat,233,1998
Carcase Meat,226,1999
Carcase Meat,235,2000
Carcase Meat,229,2001
Carcase Meat,230,2002
Carcase Meat,225,2003
Carcase Meat,229,2004
Carcase Meat,226,2005
Carcase Meat,238,2006
Carcase Meat,235,2007
Carcase Meat,211,2008
Carcase Meat,212,2009
Carcase Meat,211,2010
Carcase Meat,204,2011
Carcase Meat,196,2012
Carcase Meat,182,2013
Carcase Meat,195,2014
Non-Carcase Meat and Meat Products,630,1974
Non-Carcase Meat and Meat Products,642,1975
Non-Carcase Meat and Meat Products,656,1976
Non-Carcase Meat and Meat Products,695,1977
Non-Carcase Meat and Meat Products,705,1978
Non-Carcase Meat and Meat Products,724,1979
Non-Carcase Meat and Meat Products,707,1980
Non-Carcase Meat and Meat Products,734,1981
Non-Carcase Meat and Meat Products,728,1982
Non-Carcase Meat and Meat Products,730,1983
Non-Carcase Meat and Meat Products,722,1984
Non-Carcase Meat and Meat Products,712,1985
Non-Carcase Meat and Meat Products,721,1986
Non-Carcase Meat and Meat Products,737,1987
Non-Carcase Meat and Meat Products,727,1988
Non-Carcase Meat and Meat Products,721,1989
Non-Carcase Meat and Meat Products,698,1990
Non-Carcase Meat and Meat Products,691,1991
Non-Carcase Meat and Meat Products,714,1992
Non-Carcase Meat and Meat Products,728,1993
Non-Carcase Meat and Meat Products,732,1994
Non-Carcase Meat and Meat Products,751,1995
Non-Carcase Meat and Meat Products,759,1996
Non-Carcase Meat and Meat Products,752,1997
Non-Carcase Meat and Meat Products,752,1998
Non-Carcase Meat and Meat Products,735,1999
Non-Carcase Meat and Meat Products,779,2000
Non-Carcase Meat and Meat Products,812,2001
Non-Carcase Meat and Meat Products,820,2002
Non-Carcase Meat and Meat Products,836,2003
Non-Carcase Meat and Meat Products,820,2004
Non-Carcase Meat and Meat Products,821,2005
Non-Carcase Meat and Meat Products,804,2006
Non-Carcase Meat and Meat Products,795,2007
Non-Carcase Meat and Meat Products,787,2008
Non-Carcase Meat and Meat Products,787,2009
Non-Carcase Meat and Meat Products,805,2010
Non-Carcase Meat and Meat Products,794,2011
Non-Carcase Meat and Meat Products,793,2012
Non-Carcase Meat and Meat Products,766,2013
Non-Carcase Meat and Meat Products,760,2014
Fish,123,1974
Fish,128,1975
Fish,131,1976
Fish,118,1977
Fish,122,1978
Fish,129,1979
Fish,137,1980
Fish,141,1981
Fish,144,1982
Fish,147,1983
Fish,140,1984
Fish,140,1985
Fish,148,1986
Fish,146,1987
Fish,146,1988
Fish,150,1989
Fish,147,1990
Fish,141,1991
Fish,144,1992
Fish,148,1993
Fish,148,1994
Fish,147,1995
Fish,158,1996
Fish,149,1997
Fish,148,1998
Fish,146,1999
Fish,144,2000
Fish,157,2001
Fish,155,2002
Fish,156,2003
Fish,158,2004
Fish,167,2005
Fish,170,2006
Fish,165,2007
Fish,161,2008
Fish,158,2009
Fish,151,2010
Fish,147,2011
Fish,144,2012
Fish,146,2013
Fish,144,2014
Fats,316,1974
Fats,315,1975
Fats,312,1976
Fats,314,1977
Fats,319,1978
Fats,317,1979
Fats,324,1980
Fats,320,1981
Fats,319,1982
Fats,311,1983
Fats,300,1984
Fats,293,1985
Fats,308,1986
Fats,294,1987
Fats,290,1988
Fats,279,1989
Fats,265,1990
Fats,257,1991
Fats,256,1992
Fats,239,1993
Fats,235,1994
Fats,227,1995
Fats,235,1996
Fats,210,1997
Fats,201,1998
Fats,192,1999
Fats,193,2000
Fats,196,2001
Fats,190,2002
Fats,186,2003
Fats,182,2004
Fats,183,2005
Fats,184,2006
Fats,181,2007
Fats,184,2008
Fats,181,2009
Fats,183,2010
Fats,170,2011
Fats,178,2012
Fats,171,2013
Fats,158,2014
Sugar and Preserves,535,1974
Sugar and Preserves,470,1975
Sugar and Preserves,497,1976
Sugar and Preserves,495,1977
Sugar and Preserves,481,1978
Sugar and Preserves,471,1979
Sugar and Preserves,455,1980
Sugar and Preserves,451,1981
Sugar and Preserves,422,1982
Sugar and Preserves,407,1983
Sugar and Preserves,381,1984
Sugar and Preserves,352,1985
Sugar and Preserves,343,1986
Sugar and Preserves,320,1987
Sugar and Preserves,300,1988
Sugar and Preserves,280,1989
Sugar and Preserves,263,1990
Sugar and Preserves,261,1991
Sugar and Preserves,242,1992
Sugar and Preserves,233,1993
Sugar and Preserves,224,1994
Sugar and Preserves,212,1995
Sugar and Preserves,222,1996
Sugar and Preserves,202,1997
Sugar and Preserves,187,1998
Sugar and Preserves,169,1999
Sugar and Preserves,167,2000
Sugar and Preserves,147,2001
Sugar and Preserves,146,2002
Sugar and Preserves,135,2003
Sugar and Preserves,134,2004
Sugar and Preserves,129,2005
Sugar and Preserves,126,2006
Sugar and Preserves,125,2007
Sugar and Preserves,127,2008
Sugar and Preserves,125,2009
Sugar and Preserves,126,2010
Sugar and Preserves,126,2011
Sugar and Preserves,124,2012
Sugar and Preserves,123,2013
Sugar and Preserves,109,2014
Fresh and Processed Fruit and Vegetables [Including Potatoes],7323,1974
Fresh and Processed Fruit and Vegetables [Including Potatoes],7132,1975
Fresh and Processed Fruit and Vegetables [Including Potatoes],6400,1976
Fresh and Processed Fruit and Vegetables [Including Potatoes],6871,1977
Fresh and Processed Fruit and Vegetables [Including Potatoes],7356,1978
Fresh and Processed Fruit and Vegetables [Including Potatoes],7319,1979
Fresh and Processed Fruit and Vegetables [Including Potatoes],7294,1980
Fresh and Processed Fruit and Vegetables [Including Potatoes],7415,1981
Fresh and Processed Fruit and Vegetables [Including Potatoes],7268,1982
Fresh and Processed Fruit and Vegetables [Including Potatoes],7218,1983
Fresh and Processed Fruit and Vegetables [Including Potatoes],7105,1984
Fresh and Processed Fruit and Vegetables [Including Potatoes],7259,1985
Fresh and Processed Fruit and Vegetables [Including Potatoes],7421,1986
Fresh and Processed Fruit and Vegetables [Including Potatoes],7297,1987
Fresh and Processed Fruit and Vegetables [Including Potatoes],7219,1988
Fresh and Processed Fruit and Vegetables [Including Potatoes],7150,1989
Fresh and Processed Fruit and Vegetables [Including Potatoes],6977,1990
Fresh and Processed Fruit and Vegetables [Including Potatoes],6925,1991
Fresh and Processed Fruit and Vegetables [Including Potatoes],6851,1992
Fresh and Processed Fruit and Vegetables [Including Potatoes],6780,1993
Fresh and Processed Fruit and Vegetables [Including Potatoes],6613,1994
Fresh and Processed Fruit and Vegetables [Including Potatoes],6600,1995
Fresh and Processed Fruit and Vegetables [Including Potatoes],6793,1996
Fresh and Processed Fruit and Vegetables [Including Potatoes],6644,1997
Fresh and Processed Fruit and Vegetables [Including Potatoes],6512,1998
Fresh and Processed Fruit and Vegetables [Including Potatoes],6377,1999
Fresh and Processed Fruit and Vegetables [Including Potatoes],6489,2000
Fresh and Processed Fruit and Vegetables [Including Potatoes],6081,2001
Fresh and Processed Fruit and Vegetables [Including Potatoes],6026,2002
Fresh and Processed Fruit and Vegetables [Including Potatoes],5940,2003
Fresh and Processed Fruit and Vegetables [Including Potatoes],5845,2004
Fresh and Processed Fruit and Vegetables [Including Potatoes],6130,2005
Fresh and Processed Fruit and Vegetables [Including Potatoes],6027,2006
Fresh and Processed Fruit and Vegetables [Including Potatoes],5904,2007
Fresh and Processed Fruit and Vegetables [Including Potatoes],5763,2008
Fresh and Processed Fruit and Vegetables [Including Potatoes],5632,2009
Fresh and Processed Fruit and Vegetables [Including Potatoes],5573,2010
Fresh and Processed Fruit and Vegetables [Including Potatoes],5568,2011
Fresh and Processed Fruit and Vegetables [Including Potatoes],5451,2012
Fresh and Processed Fruit and Vegetables [Including Potatoes],5363,2013
Fresh and Processed Fruit and Vegetables [Including Potatoes],5268,2014
