desc1,desc2,value,date
Fats,Butter,147,1974
Fats,Butter,147,1975
Fats,Butter,135,1976
Fats,Butter,123,1977
Fats,Butter,119,1978
Fats,Butter,116,1979
Fats,Butter,106,1980
Fats,Butter,97,1981
Fats,Butter,83,1982
Fats,Butter,86,1983
Fats,Butter,75,1984
Fats,Butter,74,1985
Fats,Butter,59,1986
Fats,Butter,56,1987
Fats,Butter,53,1988
Fats,Butter,46,1989
Fats,Butter,42,1990
Fats,Butter,40,1991
Fats,Butter,38,1992
Fats,Butter,37,1993
Fats,Butter,36,1994
Fats,Butter,34,1995
Fats,Butter,37,1996
Fats,Butter,36,1997
Fats,Butter,36,1998
Fats,Butter,35,1999
Fats,Butter,37,2000
Fats,Butter,41,2001
Fats,Butter,37,2002
Fats,Butter,35,2003
Fats,Butter,35,2004
Fats,Butter,38,2005
Fats,Butter,40,2006
Fats,Butter,41,2007
Fats,Butter,40,2008
Fats,Butter,39,2009
Fats,Butter,40,2010
Fats,Butter,40,2011
Fats,Butter,41,2012
Fats,Butter,42,2013
Fats,Butter,40,2014
Fats,Margarine,78,1974
Fats,Margarine,78,1975
Fats,Margarine,91,1976
Fats,Margarine,104,1977
Fats,Margarine,106,1978
Fats,Margarine,109,1979
Fats,Margarine,115,1980
Fats,Margarine,123,1981
Fats,Margarine,130,1982
Fats,Margarine,123,1983
Fats,Margarine,122,1984
Fats,Margarine,113,1985
Fats,Margarine,123,1986
Fats,Margarine,119,1987
Fats,Margarine,114,1988
Fats,Margarine,104,1989
Fats,Margarine,96,1990
Fats,Margarine,94,1991
Fats,Margarine,84,1992
Fats,Margarine,74,1993
Fats,Margarine,46,1994
Fats,Margarine,43,1995
Fats,Margarine,38,1996
Fats,Margarine,27,1997
Fats,Margarine,27,1998
Fats,Margarine,20,1999
Fats,Margarine,22,2000
Fats,Margarine,13,2001
Fats,Margarine,13,2002
Fats,Margarine,12,2003
Fats,Margarine,11,2004
Fats,Margarine,20,2005
Fats,Margarine,18,2006
Fats,Margarine,19,2007
Fats,Margarine,22,2008
Fats,Margarine,24,2009
Fats,Margarine,23,2010
Fats,Margarine,20,2011
Fats,Margarine,24,2012
Fats,Margarine,23,2013
Fats,Margarine,18,2014
Fats,"Lard, cooking fat",58,1974
Fats,"Lard, cooking fat",62,1975
Fats,"Lard, cooking fat",59,1976
Fats,"Lard, cooking fat",59,1977
Fats,"Lard, cooking fat",60,1978
Fats,"Lard, cooking fat",59,1979
Fats,"Lard, cooking fat",57,1980
Fats,"Lard, cooking fat",57,1981
Fats,"Lard, cooking fat",55,1982
Fats,"Lard, cooking fat",54,1983
Fats,"Lard, cooking fat",48,1984
Fats,"Lard, cooking fat",45,1985
Fats,"Lard, cooking fat",43,1986
Fats,"Lard, cooking fat",36,1987
Fats,"Lard, cooking fat",32,1988
Fats,"Lard, cooking fat",28,1989
Fats,"Lard, cooking fat",25,1990
Fats,"Lard, cooking fat",19,1991
Fats,"Lard, cooking fat",18,1992
Fats,"Lard, cooking fat",17,1993
Fats,"Lard, cooking fat",16,1994
Fats,"Lard, cooking fat",14,1995
Fats,"Lard, cooking fat",13,1996
Fats,"Lard, cooking fat",10,1997
Fats,"Lard, cooking fat",9,1998
Fats,"Lard, cooking fat",8,1999
