desc1,desc2,value,date
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",1872,1974
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",1868,1975
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",1920,1976
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",1914,1977
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",1996,1978
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",1999,1979
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2107,1980
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2097,1981
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2038,1982
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2083,1983
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2038,1984
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2032,1985
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2246,1986
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2206,1987
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2237,1988
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2244,1989
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2170,1990
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2229,1991
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2205,1992
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2189,1993
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2200,1994
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2219,1995
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2274,1996
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2325,1997
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2316,1998
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2297,1999
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2336,2000
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2250,2001
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2307,2002
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2269,2003
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2274,2004
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2448,2005
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2454,2006
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2421,2007
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2317,2008
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2246,2009
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2240,2010
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2240,2011
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2193,2012
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2216,2013
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],"Fresh and processed fruit and vegetables, excluding potatoes",2176,2014
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,364,1974
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,341,1975
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,338,1976
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,358,1977
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,395,1978
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,322,1979
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,366,1980
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,353,1981
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,328,1982
Fresh and Processed Fruit and Vegetables [Excluding Potatoes],Fresh green vegetables,316,1983
