desc1,desc2,value,date
Fish,"White fish, fresh, chilled or frozen",44,1974
Fish,"White fish, fresh, chilled or frozen",48,1975
Fish,"White fish, fresh, chilled or frozen",48,1976
Fish,"White fish, fresh, chilled or frozen",45,1977
Fish,"White fish, fresh, chilled or frozen",46,1978
Fish,"White fish, fresh, chilled or frozen",45,1979
Fish,"White fish, fresh, chilled or frozen",48,1980
Fish,"White fish, fresh, chilled or frozen",50,1981
Fish,"White fish, fresh, chilled or frozen",48,1982
Fish,"White fish, fresh, chilled or frozen",48,1983
Fish,"White fish, fresh, chilled or frozen",46,1984
Fish,"White fish, fresh, chilled or frozen",46,1985
Fish,"White fish, fresh, chilled or frozen",47,1986
Fish,"White fish, fresh, chilled or frozen",44,1987
Fish,"White fish, fresh, chilled or frozen",45,1988
Fish,"White fish, fresh, chilled or frozen",45,1989
Fish,"White fish, fresh, chilled or frozen",44,1990
Fish,"White fish, fresh, chilled or frozen",41,1991
Fish,"White fish, fresh, chilled or frozen",36,1992
Fish,"White fish, fresh, chilled or frozen",35,1993
Fish,"White fish, fresh, chilled or frozen",37,1994
Fish,"White fish, fresh, chilled or frozen",37,1995
Fish,"White fish, fresh, chilled or frozen",42,1996
Fish,"White fish, fresh, chilled or frozen",37,1997
Fish,"White fish, fresh, chilled or frozen",36,1998
Fish,"White fish, fresh, chilled or frozen",33,1999
Fish,"White fish, fresh, chilled or frozen",32,2000
Fish,"White fish, fresh, chilled or frozen",36,2001
Fish,"White fish, fresh, chilled or frozen",33,2002
Fish,"White fish, fresh, chilled or frozen",27,2003
Fish,"White fish, fresh, chilled or frozen",26,2004
Fish,"White fish, fresh, chilled or frozen",26,2005
Fish,"White fish, fresh, chilled or frozen",28,2006
Fish,"White fish, fresh, chilled or frozen",24,2007
Fish,"White fish, fresh, chilled or frozen",24,2008
Fish,"White fish, fresh, chilled or frozen",23,2009
Fish,"White fish, fresh, chilled or frozen",20,2010
Fish,"White fish, fresh, chilled or frozen",17,2011
Fish,"White fish, fresh, chilled or frozen",21,2012
Fish,"White fish, fresh, chilled or frozen",19,2013
Fish,"White fish, fresh, chilled or frozen",19,2014
Fish,"Herrings and other blue fish, fresh, chilled or frozen",3,1974
Fish,"Herrings and other blue fish, fresh, chilled or frozen",2,1975
Fish,"Herrings and other blue fish, fresh, chilled or frozen",2,1976
Fish,"Herrings and other blue fish, fresh, chilled or frozen",2,1977
Fish,"Herrings and other blue fish, fresh, chilled or frozen",2,1978
Fish,"Herrings and other blue fish, fresh, chilled or frozen",2,1979
