desc1,desc2,value,date
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3308,1974
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3246,1975
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3027,1976
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3170,1977
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3367,1978
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3372,1979
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3419,1980
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3455,1981
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3377,1982
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3392,1983
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3332,1984
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3372,1985
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3536,1986
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3485,1987
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3477,1988
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3461,1989
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3370,1990
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3393,1991
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3352,1992
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3326,1993
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3284,1994
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3296,1995
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3385,1996
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3367,1997
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3328,1998
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3268,1999
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3338,2000
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3163,2001
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3180,2002
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3133,2003
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3096,2004
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3290,2005
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3265,2006
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3202,2007
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3093,2008
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",3007,2009
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",2982,2010
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",2986,2011
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",2917,2012
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",2898,2013
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed fruit and vegetables, including potatoes",2846,2014
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2578,1974
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2508,1975
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2266,1976
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2445,1977
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2618,1978
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2575,1979
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2562,1980
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2602,1981
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2552,1982
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2517,1983
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2480,1984
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2547,1985
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2595,1986
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2533,1987
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2502,1988
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2472,1989
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2408,1990
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2368,1991
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2352,1992
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2317,1993
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2245,1994
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2227,1995
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2297,1996
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2235,1997
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2172,1998
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2137,1999
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2149,2000
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",2006,2001
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",1973,2002
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",1943,2003
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",1927,2004
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",1998,2005
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",1952,2006
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",1921,2007
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",1894,2008
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",1864,2009
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",1849,2010
"Fresh and processed fruit and vegetables, including potatoes","Fresh and processed vegetables, including potatoes",1836,2011
