desc1,desc2,value,date
Other food and drink,Mineral or spring waters,,1974
Other food and drink,Mineral or spring waters,,1975
Other food and drink,Mineral or spring waters,,1976
Other food and drink,Mineral or spring waters,,1977
Other food and drink,Mineral or spring waters,,1978
Other food and drink,Mineral or spring waters,,1979
Other food and drink,Mineral or spring waters,,1980
Other food and drink,Mineral or spring waters,,1981
Other food and drink,Mineral or spring waters,,1982
Other food and drink,Mineral or spring waters,12,1983
Other food and drink,Mineral or spring waters,8,1984
Other food and drink,Mineral or spring waters,17,1985
Other food and drink,Mineral or spring waters,21,1986
Other food and drink,Mineral or spring waters,30,1987
Other food and drink,Mineral or spring waters,36,1988
Other food and drink,Mineral or spring waters,73,1989
Other food and drink,Mineral or spring waters,77,1990
Other food and drink,Mineral or spring waters,97,1991
Other food and drink,Mineral or spring waters,135,1992
Other food and drink,Mineral or spring waters,122,1993
Other food and drink,Mineral or spring waters,125,1994
Other food and drink,Mineral or spring waters,151,1995
Other food and drink,Mineral or spring waters,143,1996
Other food and drink,Mineral or spring waters,172,1997
Other food and drink,Mineral or spring waters,170,1998
Other food and drink,Mineral or spring waters,184,1999
Other food and drink,Mineral or spring waters,204,2000
Other food and drink,Mineral or spring waters,197,2001
Other food and drink,Mineral or spring waters,210,2002
Other food and drink,Mineral or spring waters,236,2003
Other food and drink,Mineral or spring waters,251,2004
Other food and drink,Mineral or spring waters,253,2005
Other food and drink,Mineral or spring waters,292,2006
Other food and drink,Mineral or spring waters,258,2007
Other food and drink,Mineral or spring waters,225,2008
Other food and drink,Mineral or spring waters,236,2009
Other food and drink,Mineral or spring waters,245,2010
Other food and drink,Mineral or spring waters,256,2011
Other food and drink,Mineral or spring waters,305,2012
Other food and drink,Mineral or spring waters,306,2013
Other food and drink,Mineral or spring waters,341,2014
Other food and drink,Baby foods,26,1974
Other food and drink,Baby foods,16,1975
Other food and drink,Baby foods,16,1976
Other food and drink,Baby foods,10,1977
Other food and drink,Baby foods,9,1978
Other food and drink,Baby foods,11,1979
Other food and drink,Baby foods,9,1980
Other food and drink,Baby foods,7,1981
Other food and drink,Baby foods,7,1982
Other food and drink,Baby foods,9,1983
Other food and drink,Baby foods,9,1984
Other food and drink,Baby foods,9,1985
Other food and drink,Baby foods,11,1986
Other food and drink,Baby foods,10,1987
Other food and drink,Baby foods,10,1988
Other food and drink,Baby foods,11,1989
Other food and drink,Baby foods,11,1990
Other food and drink,Baby foods,8,1991
Other food and drink,Baby foods,8,1992
Other food and drink,Baby foods,6,1993
Other food and drink,Baby foods,6,1994
Other food and drink,Baby foods,7,1995
Other food and drink,Baby foods,6,1996
Other food and drink,Baby foods,8,1997
Other food and drink,Baby foods,7,1998
Other food and drink,Baby foods,7,1999
Other food and drink,Baby foods,7,2000
Other food and drink,Baby foods,8,2001
Other food and drink,Baby foods,8,2002
Other food and drink,Baby foods,9,2003
Other food and drink,Baby foods,7,2004
Other food and drink,Baby foods,8,2005
Other food and drink,Baby foods,9,2006
Other food and drink,Baby foods,10,2007
Other food and drink,Baby foods,9,2008
Other food and drink,Baby foods,11,2009
Other food and drink,Baby foods,8,2010
Other food and drink,Baby foods,10,2011
Other food and drink,Baby foods,10,2012
Other food and drink,Baby foods,10,2013
Other food and drink,Baby foods,10,2014
Other food and drink,Soups - canned or cartons,101,1974
Other food and drink,Soups - canned or cartons,88,1975
Other food and drink,Soups - canned or cartons,92,1976
Other food and drink,Soups - canned or cartons,81,1977
Other food and drink,Soups - canned or cartons,80,1978
Other food and drink,Soups - canned or cartons,86,1979
Other food and drink,Soups - canned or cartons,81,1980
Other food and drink,Soups - canned or cartons,82,1981
Other food and drink,Soups - canned or cartons,77,1982
Other food and drink,Soups - canned or cartons,79,1983
Other food and drink,Soups - canned or cartons,78,1984
Other food and drink,Soups - canned or cartons,79,1985
Other food and drink,Soups - canned or cartons,74,1986
Other food and drink,Soups - canned or cartons,81,1987
Other food and drink,Soups - canned or cartons,81,1988
Other food and drink,Soups - canned or cartons,79,1989
Other food and drink,Soups - canned or cartons,70,1990
Other food and drink,Soups - canned or cartons,71,1991
Other food and drink,Soups - canned or cartons,72,1992
Other food and drink,Soups - canned or cartons,67,1993
Other food and drink,Soups - canned or cartons,69,1994
Other food and drink,Soups - canned or cartons,66,1995
Other food and drink,Soups - canned or cartons,73,1996
Other food and drink,Soups - canned or cartons,72,1997
Other food and drink,Soups - canned or cartons,73,1998
Other food and drink,Soups - canned or cartons,68,1999
Other food and drink,Soups - canned or cartons,72,2000
Other food and drink,Soups - canned or cartons,79,2001
Other food and drink,Soups - canned or cartons,80,2002
Other food and drink,Soups - canned or cartons,77,2003
Other food and drink,Soups - canned or cartons,76,2004
Other food and drink,Soups - canned or cartons,82,2005
Other food and drink,Soups - canned or cartons,79,2006
Other food and drink,Soups - canned or cartons,79,2007
Other food and drink,Soups - canned or cartons,76,2008
Other food and drink,Soups - canned or cartons,78,2009
Other food and drink,Soups - canned or cartons,76,2010
Other food and drink,Soups - canned or cartons,75,2011
Other food and drink,Soups - canned or cartons,85,2012
Other food and drink,Soups - canned or cartons,79,2013
Other food and drink,Soups - canned or cartons,70,2014
Other food and drink,Soups - dehydrated or powdered,4,1974
Other food and drink,Soups - dehydrated or powdered,4,1975
Other food and drink,Soups - dehydrated or powdered,4,1976
Other food and drink,Soups - dehydrated or powdered,3,1977
Other food and drink,Soups - dehydrated or powdered,4,1978
Other food and drink,Soups - dehydrated or powdered,4,1979
Other food and drink,Soups - dehydrated or powdered,3,1980
Other food and drink,Soups - dehydrated or powdered,4,1981
Other food and drink,Soups - dehydrated or powdered,4,1982
Other food and drink,Soups - dehydrated or powdered,4,1983
Other food and drink,Soups - dehydrated or powdered,4,1984
Other food and drink,Soups - dehydrated or powdered,5,1985
Other food and drink,Soups - dehydrated or powdered,5,1986
Other food and drink,Soups - dehydrated or powdered,4,1987
Other food and drink,Soups - dehydrated or powdered,4,1988
Other food and drink,Soups - dehydrated or powdered,4,1989
Other food and drink,Soups - dehydrated or powdered,3,1990
Other food and drink,Soups - dehydrated or powdered,4,1991
Other food and drink,Soups - dehydrated or powdered,3,1992
Other food and drink,Soups - dehydrated or powdered,4,1993
Other food and drink,Soups - dehydrated or powdered,3,1994
Other food and drink,Soups - dehydrated or powdered,3,1995
Other food and drink,Soups - dehydrated or powdered,4,1996
Other food and drink,Soups - dehydrated or powdered,3,1997
Other food and drink,Soups - dehydrated or powdered,3,1998
Other food and drink,Soups - dehydrated or powdered,3,1999
Other food and drink,Soups - dehydrated or powdered,3,2000
Other food and drink,Soups - dehydrated or powdered,4,2001
Other food and drink,Soups - dehydrated or powdered,4,2002
Other food and drink,Soups - dehydrated or powdered,3,2003
Other food and drink,Soups - dehydrated or powdered,4,2004
Other food and drink,Soups - dehydrated or powdered,4,2005
Other food and drink,Soups - dehydrated or powdered,4,2006
Other food and drink,Soups - dehydrated or powdered,4,2007
Other food and drink,Soups - dehydrated or powdered,4,2008
Other food and drink,Soups - dehydrated or powdered,4,2009
Other food and drink,Soups - dehydrated or powdered,4,2010
Other food and drink,Soups - dehydrated or powdered,4,2011
Other food and drink,Soups - dehydrated or powdered,4,2012
Other food and drink,Soups - dehydrated or powdered,4,2013
Other food and drink,Soups - dehydrated or powdered,3,2014
Other food and drink,Spreads and dressings,9,1974
Other food and drink,Spreads and dressings,9,1975
Other food and drink,Spreads and dressings,9,1976
Other food and drink,Spreads and dressings,9,1977
Other food and drink,Spreads and dressings,9,1978
Other food and drink,Spreads and dressings,10,1979
Other food and drink,Spreads and dressings,10,1980
Other food and drink,Spreads and dressings,11,1981
Other food and drink,Spreads and dressings,12,1982
Other food and drink,Spreads and dressings,13,1983
Other food and drink,Spreads and dressings,14,1984
Other food and drink,Spreads and dressings,14,1985
Other food and drink,Spreads and dressings,17,1986
Other food and drink,Spreads and dressings,17,1987
Other food and drink,Spreads and dressings,17,1988
Other food and drink,Spreads and dressings,17,1989
Other food and drink,Spreads and dressings,18,1990
Other food and drink,Spreads and dressings,18,1991
Other food and drink,Spreads and dressings,20,1992
Other food and drink,Spreads and dressings,20,1993
Other food and drink,Spreads and dressings,20,1994
Other food and drink,Spreads and dressings,20,1995
Other food and drink,Spreads and dressings,22,1996
Other food and drink,Spreads and dressings,23,1997
Other food and drink,Spreads and dressings,22,1998
Other food and drink,Spreads and dressings,23,1999
Other food and drink,Spreads and dressings,24,2000
Other food and drink,Spreads and dressings,32,2001
Other food and drink,Spreads and dressings,33,2002
Other food and drink,Spreads and dressings,34,2003
Other food and drink,Spreads and dressings,38,2004
Other food and drink,Spreads and dressings,38,2005
Other food and drink,Spreads and dressings,39,2006
Other food and drink,Spreads and dressings,42,2007
Other food and drink,Spreads and dressings,41,2008
Other food and drink,Spreads and dressings,44,2009
Other food and drink,Spreads and dressings,42,2010
Other food and drink,Spreads and dressings,44,2011
Other food and drink,Spreads and dressings,45,2012
Other food and drink,Spreads and dressings,47,2013
Other food and drink,Spreads and dressings,44,2014
Other food and drink,Pickles and sauces,52,1974
Other food and drink,Pickles and sauces,57,1975
Other food and drink,Pickles and sauces,56,1976
Other food and drink,Pickles and sauces,55,1977
Other food and drink,Pickles and sauces,58,1978
Other food and drink,Pickles and sauces,61,1979
Other food and drink,Pickles and sauces,61,1980
Other food and drink,Pickles and sauces,67,1981
Other food and drink,Pickles and sauces,66,1982
Other food and drink,Pickles and sauces,72,1983
Other food and drink,Pickles and sauces,70,1984
Other food and drink,Pickles and sauces,72,1985
Other food and drink,Pickles and sauces,73,1986
Other food and drink,Pickles and sauces,71,1987
Other food and drink,Pickles and sauces,77,1988
Other food and drink,Pickles and sauces,79,1989
Other food and drink,Pickles and sauces,80,1990
Other food and drink,Pickles and sauces,82,1991
Other food and drink,Pickles and sauces,86,1992
Other food and drink,Pickles and sauces,91,1993
Other food and drink,Pickles and sauces,91,1994
Other food and drink,Pickles and sauces,95,1995
Other food and drink,Pickles and sauces,99,1996
Other food and drink,Pickles and sauces,109,1997
Other food and drink,Pickles and sauces,112,1998
Other food and drink,Pickles and sauces,107,1999
Other food and drink,Pickles and sauces,126,2000
Other food and drink,Pickles and sauces,121,2001
Other food and drink,Pickles and sauces,123,2002
Other food and drink,Pickles and sauces,121,2003
Other food and drink,Pickles and sauces,120,2004
Other food and drink,Pickles and sauces,125,2005
Other food and drink,Pickles and sauces,128,2006
Other food and drink,Pickles and sauces,129,2007
Other food and drink,Pickles and sauces,130,2008
Other food and drink,Pickles and sauces,132,2009
Other food and drink,Pickles and sauces,131,2010
Other food and drink,Pickles and sauces,131,2011
Other food and drink,Pickles and sauces,129,2012
Other food and drink,Pickles and sauces,130,2013
Other food and drink,Pickles and sauces,128,2014
Other food and drink,Stock cubes and meat and yeast extracts,6,1974
Other food and drink,Stock cubes and meat and yeast extracts,5,1975
Other food and drink,Stock cubes and meat and yeast extracts,6,1976
Other food and drink,Stock cubes and meat and yeast extracts,6,1977
Other food and drink,Stock cubes and meat and yeast extracts,6,1978
Other food and drink,Stock cubes and meat and yeast extracts,6,1979
Other food and drink,Stock cubes and meat and yeast extracts,6,1980
Other food and drink,Stock cubes and meat and yeast extracts,6,1981
Other food and drink,Stock cubes and meat and yeast extracts,5,1982
Other food and drink,Stock cubes and meat and yeast extracts,5,1983
Other food and drink,Stock cubes and meat and yeast extracts,6,1984
Other food and drink,Stock cubes and meat and yeast extracts,6,1985
Other food and drink,Stock cubes and meat and yeast extracts,6,1986
Other food and drink,Stock cubes and meat and yeast extracts,6,1987
Other food and drink,Stock cubes and meat and yeast extracts,6,1988
Other food and drink,Stock cubes and meat and yeast extracts,6,1989
Other food and drink,Stock cubes and meat and yeast extracts,5,1990
Other food and drink,Stock cubes and meat and yeast extracts,5,1991
Other food and drink,Stock cubes and meat and yeast extracts,5,1992
Other food and drink,Stock cubes and meat and yeast extracts,5,1993
Other food and drink,Stock cubes and meat and yeast extracts,4,1994
Other food and drink,Stock cubes and meat and yeast extracts,4,1995
Other food and drink,Stock cubes and meat and yeast extracts,5,1996
Other food and drink,Stock cubes and meat and yeast extracts,5,1997
Other food and drink,Stock cubes and meat and yeast extracts,4,1998
Other food and drink,Stock cubes and meat and yeast extracts,4,1999
Other food and drink,Stock cubes and meat and yeast extracts,5,2000
Other food and drink,Stock cubes and meat and yeast extracts,4,2001
Other food and drink,Stock cubes and meat and yeast extracts,5,2002
Other food and drink,Stock cubes and meat and yeast extracts,4,2003
Other food and drink,Stock cubes and meat and yeast extracts,4,2004
Other food and drink,Stock cubes and meat and yeast extracts,4,2005
Other food and drink,Stock cubes and meat and yeast extracts,4,2006
Other food and drink,Stock cubes and meat and yeast extracts,4,2007
Other food and drink,Stock cubes and meat and yeast extracts,4,2008
Other food and drink,Stock cubes and meat and yeast extracts,5,2009
Other food and drink,Stock cubes and meat and yeast extracts,6,2010
Other food and drink,Stock cubes and meat and yeast extracts,5,2011
Other food and drink,Stock cubes and meat and yeast extracts,5,2012
Other food and drink,Stock cubes and meat and yeast extracts,5,2013
Other food and drink,Stock cubes and meat and yeast extracts,5,2014
Other food and drink,Jelly squares or crystals,13,1974
Other food and drink,Jelly squares or crystals,11,1975
Other food and drink,Jelly squares or crystals,12,1976
Other food and drink,Jelly squares or crystals,10,1977
Other food and drink,Jelly squares or crystals,10,1978
Other food and drink,Jelly squares or crystals,10,1979
Other food and drink,Jelly squares or crystals,10,1980
Other food and drink,Jelly squares or crystals,9,1981
Other food and drink,Jelly squares or crystals,9,1982
Other food and drink,Jelly squares or crystals,9,1983
Other food and drink,Jelly squares or crystals,9,1984
Other food and drink,Jelly squares or crystals,8,1985
Other food and drink,Jelly squares or crystals,7,1986
Other food and drink,Jelly squares or crystals,7,1987
Other food and drink,Jelly squares or crystals,7,1988
Other food and drink,Jelly squares or crystals,6,1989
Other food and drink,Jelly squares or crystals,6,1990
Other food and drink,Jelly squares or crystals,5,1991
Other food and drink,Jelly squares or crystals,5,1992
