desc1,desc2,value,date
Sugar and preserves,Sugar,458,1974
Sugar and preserves,Sugar,394,1975
Sugar and preserves,Sugar,427,1976
Sugar and preserves,Sugar,423,1977
Sugar and preserves,Sugar,415,1978
Sugar and preserves,Sugar,405,1979
Sugar and preserves,Sugar,392,1980
Sugar and preserves,Sugar,387,1981
Sugar and preserves,Sugar,361,1982
Sugar and preserves,Sugar,344,1983
Sugar and preserves,Sugar,320,1984
Sugar and preserves,Sugar,294,1985
Sugar and preserves,Sugar,282,1986
Sugar and preserves,Sugar,262,1987
Sugar and preserves,Sugar,243,1988
Sugar and preserves,Sugar,226,1989
Sugar and preserves,Sugar,211,1990
Sugar and preserves,Sugar,206,1991
Sugar and preserves,Sugar,193,1992
Sugar and preserves,Sugar,186,1993
Sugar and preserves,Sugar,178,1994
Sugar and preserves,Sugar,169,1995
Sugar and preserves,Sugar,177,1996
Sugar and preserves,Sugar,157,1997
Sugar and preserves,Sugar,146,1998
Sugar and preserves,Sugar,132,1999
Sugar and preserves,Sugar,130,2000
Sugar and preserves,Sugar,112,2001
Sugar and preserves,Sugar,111,2002
Sugar and preserves,Sugar,102,2003
Sugar and preserves,Sugar,99,2004
Sugar and preserves,Sugar,94,2005
Sugar and preserves,Sugar,92,2006
Sugar and preserves,Sugar,92,2007
Sugar and preserves,Sugar,93,2008
Sugar and preserves,Sugar,90,2009
Sugar and preserves,Sugar,90,2010
Sugar and preserves,Sugar,93,2011
Sugar and preserves,Sugar,91,2012
Sugar and preserves,Sugar,91,2013
Sugar and preserves,Sugar,78,2014
Sugar and preserves,Jams and fruit curds,36,1974
Sugar and preserves,Jams and fruit curds,37,1975
Sugar and preserves,Jams and fruit curds,35,1976
Sugar and preserves,Jams and fruit curds,35,1977
Sugar and preserves,Jams and fruit curds,32,1978
Sugar and preserves,Jams and fruit curds,32,1979
Sugar and preserves,Jams and fruit curds,29,1980
Sugar and preserves,Jams and fruit curds,29,1981
Sugar and preserves,Jams and fruit curds,30,1982
Sugar and preserves,Jams and fruit curds,30,1983
Sugar and preserves,Jams and fruit curds,28,1984
Sugar and preserves,Jams and fruit curds,26,1985
Sugar and preserves,Jams and fruit curds,29,1986
Sugar and preserves,Jams and fruit curds,27,1987
Sugar and preserves,Jams and fruit curds,26,1988
Sugar and preserves,Jams and fruit curds,24,1989
Sugar and preserves,Jams and fruit curds,25,1990
Sugar and preserves,Jams and fruit curds,26,1991
Sugar and preserves,Jams and fruit curds,22,1992
Sugar and preserves,Jams and fruit curds,21,1993
Sugar and preserves,Jams and fruit curds,21,1994
Sugar and preserves,Jams and fruit curds,20,1995
Sugar and preserves,Jams and fruit curds,21,1996
Sugar and preserves,Jams and fruit curds,21,1997
Sugar and preserves,Jams and fruit curds,18,1998
Sugar and preserves,Jams and fruit curds,17,1999
Sugar and preserves,Jams and fruit curds,17,2000
Sugar and preserves,Jams and fruit curds,16,2001
Sugar and preserves,Jams and fruit curds,16,2002
Sugar and preserves,Jams and fruit curds,15,2003
Sugar and preserves,Jams and fruit curds,16,2004
Sugar and preserves,Jams and fruit curds,16,2005
Sugar and preserves,Jams and fruit curds,16,2006
Sugar and preserves,Jams and fruit curds,15,2007
Sugar and preserves,Jams and fruit curds,15,2008
Sugar and preserves,Jams and fruit curds,15,2009
Sugar and preserves,Jams and fruit curds,16,2010
Sugar and preserves,Jams and fruit curds,15,2011
Sugar and preserves,Jams and fruit curds,14,2012
Sugar and preserves,Jams and fruit curds,14,2013
Sugar and preserves,Jams and fruit curds,14,2014
Sugar and preserves,Marmalade,27,1974
Sugar and preserves,Marmalade,26,1975
Sugar and preserves,Marmalade,23,1976
Sugar and preserves,Marmalade,25,1977
Sugar and preserves,Marmalade,21,1978
Sugar and preserves,Marmalade,22,1979
Sugar and preserves,Marmalade,22,1980
Sugar and preserves,Marmalade,22,1981
Sugar and preserves,Marmalade,20,1982
Sugar and preserves,Marmalade,21,1983
Sugar and preserves,Marmalade,21,1984
Sugar and preserves,Marmalade,19,1985
Sugar and preserves,Marmalade,20,1986
Sugar and preserves,Marmalade,19,1987
Sugar and preserves,Marmalade,19,1988
Sugar and preserves,Marmalade,18,1989
Sugar and preserves,Marmalade,17,1990
Sugar and preserves,Marmalade,19,1991
Sugar and preserves,Marmalade,17,1992
Sugar and preserves,Marmalade,16,1993
Sugar and preserves,Marmalade,18,1994
Sugar and preserves,Marmalade,16,1995
Sugar and preserves,Marmalade,15,1996
Sugar and preserves,Marmalade,15,1997
Sugar and preserves,Marmalade,15,1998
Sugar and preserves,Marmalade,14,1999
Sugar and preserves,Marmalade,13,2000
Sugar and preserves,Marmalade,11,2001
Sugar and preserves,Marmalade,11,2002
Sugar and preserves,Marmalade,11,2003
Sugar and preserves,Marmalade,10,2004
Sugar and preserves,Marmalade,11,2005
Sugar and preserves,Marmalade,9,2006
Sugar and preserves,Marmalade,9,2007
Sugar and preserves,Marmalade,10,2008
Sugar and preserves,Marmalade,9,2009
Sugar and preserves,Marmalade,9,2010
Sugar and preserves,Marmalade,8,2011
Sugar and preserves,Marmalade,8,2012
Sugar and preserves,Marmalade,7,2013
Sugar and preserves,Marmalade,6,2014
Sugar and preserves,"Syrup, treacle",8,1974
Sugar and preserves,"Syrup, treacle",7,1975
Sugar and preserves,"Syrup, treacle",8,1976
Sugar and preserves,"Syrup, treacle",8,1977
Sugar and preserves,"Syrup, treacle",7,1978
Sugar and preserves,"Syrup, treacle",7,1979
Sugar and preserves,"Syrup, treacle",6,1980
Sugar and preserves,"Syrup, treacle",6,1981
Sugar and preserves,"Syrup, treacle",5,1982
Sugar and preserves,"Syrup, treacle",6,1983
Sugar and preserves,"Syrup, treacle",4,1984
Sugar and preserves,"Syrup, treacle",5,1985
Sugar and preserves,"Syrup, treacle",5,1986
Sugar and preserves,"Syrup, treacle",5,1987
Sugar and preserves,"Syrup, treacle",5,1988
Sugar and preserves,"Syrup, treacle",4,1989
Sugar and preserves,"Syrup, treacle",5,1990
Sugar and preserves,"Syrup, treacle",5,1991
Sugar and preserves,"Syrup, treacle",3,1992
Sugar and preserves,"Syrup, treacle",3,1993
Sugar and preserves,"Syrup, treacle",3,1994
Sugar and preserves,"Syrup, treacle",3,1995
Sugar and preserves,"Syrup, treacle",4,1996
Sugar and preserves,"Syrup, treacle",3,1997
Sugar and preserves,"Syrup, treacle",2,1998
Sugar and preserves,"Syrup, treacle",3,1999
Sugar and preserves,"Syrup, treacle",3,2000
Sugar and preserves,"Syrup, treacle",3,2001
Sugar and preserves,"Syrup, treacle",3,2002
Sugar and preserves,"Syrup, treacle",3,2003
Sugar and preserves,"Syrup, treacle",3,2004
Sugar and preserves,"Syrup, treacle",3,2005
Sugar and preserves,"Syrup, treacle",3,2006
Sugar and preserves,"Syrup, treacle",3,2007
Sugar and preserves,"Syrup, treacle",3,2008
Sugar and preserves,"Syrup, treacle",4,2009
Sugar and preserves,"Syrup, treacle",4,2010
Sugar and preserves,"Syrup, treacle",4,2011
Sugar and preserves,"Syrup, treacle",4,2012
Sugar and preserves,"Syrup, treacle",4,2013
Sugar and preserves,"Syrup, treacle",3,2014
Sugar and preserves,Honey,5,1974
Sugar and preserves,Honey,5,1975
Sugar and preserves,Honey,6,1976
Sugar and preserves,Honey,4,1977
Sugar and preserves,Honey,6,1978
Sugar and preserves,Honey,6,1979
Sugar and preserves,Honey,6,1980
Sugar and preserves,Honey,6,1981
Sugar and preserves,Honey,6,1982
Sugar and preserves,Honey,6,1983
Sugar and preserves,Honey,7,1984
Sugar and preserves,Honey,7,1985
Sugar and preserves,Honey,7,1986
Sugar and preserves,Honey,7,1987
Sugar and preserves,Honey,7,1988
Sugar and preserves,Honey,7,1989
Sugar and preserves,Honey,6,1990
Sugar and preserves,Honey,6,1991
Sugar and preserves,Honey,7,1992
Sugar and preserves,Honey,6,1993
